rainfall_24h,rainfall_intensity,soil_moisture,slope,elevation,historical_events,temperature,humidity,pore_water_pressure,risk_probability,risk_percentage,risk_category,landslide_occurred
6.51,1.39,42.97,35.85,996.4,12,21.1,57.8,2.98,0.0534,5.34,LOW,0
117.99,20.03,62.66,33.51,2803.4,5,12.1,77.7,16.4,0.3553,35.53,MODERATE,0
0.52,0.15,22.57,41.03,553.4,5,25.6,68.1,3.18,0.0147,1.47,LOW,0
22.96,5.51,21.51,28.11,621.6,6,26.7,64.6,1.94,0.0217,2.17,LOW,0
14.19,3.1,31.67,50.27,3138.5,9,11.5,60.1,3.33,0.0912,9.12,LOW,0
20.87,3.92,23.58,24.53,2237.8,8,20.1,60.6,1.72,0.0181,1.81,LOW,0
29.59,6.48,29.25,63.43,2748.3,8,10.4,74.7,4.72,0.174,17.4,LOW,0
20.02,3.5,35.04,48.97,1206.8,6,25.0,68.0,2.41,0.1056,10.56,LOW,0
18.76,2.34,31.72,30.56,2245.6,11,13.3,68.7,2.69,0.0533,5.33,LOW,0
162.9,29.85,65.97,17.59,2003.0,4,16.0,88.9,21.56,0.6831,68.31,HIGH,1
40.53,10.9,27.82,50.87,2029.3,8,17.8,65.8,4.77,0.1392,13.92,LOW,0
62.7,13.81,43.62,46.41,2263.5,6,18.5,76.6,7.29,0.2313,23.13,LOW,0
10.07,1.34,29.5,47.24,1947.3,6,16.3,52.7,3.3,0.0428,4.28,LOW,0
32.91,8.61,41.74,48.93,1515.7,11,20.6,74.2,4.49,0.1262,12.62,LOW,0
30.8,5.02,21.16,24.5,1064.0,3,21.4,69.1,3.42,0.0182,1.82,LOW,0
83.49,13.28,48.97,35.9,2517.3,10,8.4,75.4,7.59,0.2498,24.98,LOW,0
23.3,3.9,36.11,26.88,917.5,9,22.9,59.0,4.54,0.0184,1.84,LOW,0
13.18,2.8,26.59,53.25,2292.4,4,12.3,67.6,2.34,0.0466,4.66,LOW,0
5.35,1.11,18.52,43.53,938.3,13,26.0,67.7,1.75,0.0384,3.84,LOW,0
131.06,26.03,57.07,35.08,2094.7,7,19.7,75.4,17.4,0.547,54.7,HIGH,1
3.9,0.92,26.28,23.8,2453.9,11,12.4,56.5,0.5,0.0185,1.85,LOW,0
145.81,24.88,63.39,34.47,895.2,6,20.6,75.7,18.73,0.4967,49.67,MODERATE,1
37.83,9.27,37.11,34.91,426.8,9,24.1,69.0,2.29,0.0509,5.09,LOW,0
105.28,15.59,60.87,47.27,636.4,5,25.8,75.2,13.88,0.4249,42.49,MODERATE,0
45.79,11.23,35.82,43.99,2037.7,6,18.1,79.6,4.25,0.1324,13.24,LOW,0
1.87,0.42,31.62,54.61,2755.9,7,21.4,51.1,0.5,0.0423,4.23,LOW,0
75.47,17.31,45.55,39.03,382.7,5,25.1,66.1,9.28,0.1198,11.98,LOW,0
69.49,13.69,46.15,27.07,2415.7,11,14.9,70.5,6.48,0.0882,8.82,LOW,0
20.5,4.65,30.15,46.65,1256.9,6,25.9,67.1,4.06,0.0881,8.81,LOW,0
96.21,12.77,53.76,48.5,1661.7,9,19.6,78.2,10.34,0.3936,39.36,MODERATE,0
130.65,33.48,64.28,41.59,2990.1,10,8.8,80.1,16.65,0.7188,71.88,HIGH,1
26.6,3.43,35.66,48.92,1229.3,9,22.1,66.1,1.42,0.0446,4.46,LOW,0
82.5,11.86,48.12,39.63,1622.7,11,20.8,73.1,9.57,0.1516,15.16,LOW,0
3.03,0.64,10.0,40.45,290.4,10,25.5,66.8,1.48,0.0261,2.61,LOW,0
7.42,1.77,30.06,37.83,490.7,8,27.3,57.8,2.03,0.0691,6.91,LOW,0
20.34,2.69,20.84,20.57,1012.8,15,24.2,60.4,2.67,0.0238,2.38,LOW,0
30.76,8.22,30.58,26.47,332.2,3,25.0,68.8,2.05,0.0224,2.24,LOW,0
59.29,16.35,29.65,21.19,2112.6,8,20.3,78.3,5.86,0.0631,6.31,LOW,0
155.57,33.75,77.05,43.96,1507.9,7,17.7,79.5,23.01,0.8545,85.45,CRITICAL,1
17.23,3.4,31.91,34.58,1867.0,6,18.8,64.0,5.29,0.0473,4.73,LOW,0
1.7,0.41,23.85,40.05,765.2,4,22.3,58.0,1.59,0.0199,1.99,LOW,0
56.54,9.75,47.92,55.88,1123.0,8,17.6,71.8,6.49,0.1477,14.77,LOW,0
32.46,6.46,36.75,32.43,2208.3,9,16.8,55.0,2.79,0.1407,14.07,LOW,0
7.75,2.07,27.79,37.37,3097.6,3,15.8,59.1,0.77,0.0179,1.79,LOW,0
23.9,6.52,33.67,48.29,398.7,7,25.7,60.1,4.33,0.0926,9.26,LOW,0
47.46,12.73,36.38,31.7,2876.6,7,8.4,65.1,6.17,0.0473,4.73,LOW,0
51.5,8.34,33.22,24.69,1951.8,9,17.8,52.5,4.51,0.0314,3.14,LOW,0
124.45,19.56,64.65,33.79,1913.6,10,15.4,90.8,16.6,0.609,60.9,HIGH,1
12.75,2.14,28.21,29.02,1725.8,8,21.1,46.9,3.89,0.0174,1.74,LOW,0
127.39,24.28,51.87,57.43,454.7,9,24.9,82.0,14.18,0.6491,64.91,HIGH,1
38.11,6.49,38.21,50.53,515.1,5,20.7,58.0,5.11,0.0666,6.66,LOW,0
18.36,3.3,30.35,43.86,2022.7,4,18.1,55.3,3.09,0.0676,6.76,LOW,0
118.49,25.99,66.68,53.7,1255.8,11,21.6,78.6,15.57,0.6012,60.12,HIGH,1
45.97,11.12,39.21,50.33,2955.9,6,11.0,71.0,5.63,0.1473,14.73,LOW,0
9.71,2.31,21.81,30.08,1449.4,7,17.4,55.0,4.25,0.0301,3.01,LOW,0
6.59,1.65,17.9,54.93,672.7,5,28.8,54.3,1.69,0.0415,4.15,LOW,0
26.41,3.31,38.72,40.94,2358.4,6,13.9,56.2,4.71,0.0436,4.36,LOW,0
11.99,1.53,28.04,50.5,1115.4,10,24.1,63.1,2.79,0.0715,7.15,LOW,0
34.7,8.55,30.39,55.15,1800.1,2,16.9,58.9,3.31,0.0751,7.51,LOW,0
4.39,0.9,22.63,34.69,2308.6,7,17.0,68.4,3.07,0.0356,3.56,LOW,0
37.24,7.91,41.92,26.58,2905.8,14,12.2,58.7,5.59,0.0694,6.94,LOW,0
11.66,1.5,30.62,31.67,2587.0,3,13.8,65.0,3.22,0.0166,1.66,LOW,0
0.01,0.0,30.49,37.82,2245.3,11,13.6,69.3,3.75,0.0653,6.53,LOW,0
4.75,1.06,27.56,50.99,2254.9,5,16.9,61.1,4.07,0.0487,4.87,LOW,0
94.93,24.44,47.4,53.12,3040.5,8,14.8,63.5,10.15,0.3169,31.69,MODERATE,0
70.7,18.86,53.73,17.91,1122.7,5,19.2,73.0,8.73,0.0713,7.13,LOW,0
9.31,1.86,25.65,40.11,253.3,10,24.5,59.9,1.0,0.0602,6.02,LOW,0
52.74,10.93,43.79,37.56,1052.3,10,29.6,67.7,7.69,0.1992,19.92,LOW,0
32.83,8.32,39.61,31.45,892.8,12,20.6,74.4,4.27,0.0901,9.01,LOW,0
123.8,25.51,59.7,27.09,2202.4,6,14.5,78.9,14.69,0.4988,49.88,MODERATE,1
195.16,39.56,74.08,35.29,2119.4,7,19.8,92.4,27.09,0.9664,96.64,CRITICAL,1
124.99,33.1,56.61,58.47,2000.7,11,20.5,74.8,13.79,0.6897,68.97,HIGH,1
2.3,0.57,29.03,34.85,297.9,4,20.3,58.7,3.88,0.061,6.1,LOW,0
17.66,4.69,32.61,40.34,2399.9,9,16.7,69.4,3.94,0.0375,3.75,LOW,0
116.17,18.0,64.03,46.27,1204.4,12,20.9,78.2,13.9,0.6342,63.42,HIGH,1
152.47,31.09,73.39,36.05,2211.9,11,15.5,84.6,20.69,0.805,80.5,CRITICAL,1
11.88,3.03,23.56,61.3,1891.9,10,20.5,67.8,2.63,0.0893,8.93,LOW,0
4.48,0.62,33.47,60.27,1261.1,5,20.2,70.5,1.25,0.1243,12.43,LOW,0
42.55,10.52,31.78,32.52,647.0,5,23.2,59.4,4.18,0.0442,4.42,LOW,0
36.23,5.41,38.12,39.73,528.5,9,24.3,62.5,6.04,0.0949,9.49,LOW,0
16.39,4.09,41.7,34.15,2703.0,11,12.3,71.2,4.3,0.0199,1.99,LOW,0
105.52,22.99,56.11,33.63,2959.3,10,12.6,87.8,10.94,0.4346,43.46,MODERATE,0
0.79,0.12,16.33,21.71,2166.9,10,19.4,58.5,1.01,0.0301,3.01,LOW,0
191.15,37.41,76.89,43.08,555.1,11,26.0,90.3,28.7,0.97,97.0,CRITICAL,1
243.91,55.88,98.0,39.88,1436.0,6,20.1,98.7,35.0,0.995,99.5,CRITICAL,1
192.75,42.68,77.93,22.92,2400.4,7,16.2,90.3,28.22,0.8943,89.43,CRITICAL,1
10.17,1.92,34.48,33.43,2550.5,9,15.9,63.0,3.0,0.0323,3.23,LOW,0
26.74,7.06,27.7,55.92,598.7,3,26.2,72.2,2.88,0.0425,4.25,LOW,0
60.77,12.34,40.24,32.09,250.1,10,25.0,58.3,8.15,0.1907,19.07,LOW,0
180.01,36.17,74.32,28.29,2350.8,3,16.1,83.1,26.7,0.8949,89.49,CRITICAL,1
100.28,13.03,62.83,39.51,1302.0,8,15.5,78.9,13.15,0.5801,58.01,HIGH,1
55.48,14.84,39.0,63.22,1000.7,5,26.3,65.3,4.4,0.1527,15.27,LOW,0
7.0,1.04,17.53,32.18,288.0,13,30.2,62.8,1.16,0.0266,2.66,LOW,0
162.31,33.2,82.36,45.17,1843.9,15,20.1,90.9,23.54,0.9384,93.84,CRITICAL,1
160.58,39.91,71.1,48.53,2760.9,7,15.9,93.7,22.82,0.8771,87.71,CRITICAL,1
18.01,2.78,33.32,32.02,3075.0,5,10.9,64.4,3.75,0.0279,2.79,LOW,0
53.52,10.94,31.95,47.21,1918.9,10,15.6,77.0,5.79,0.2052,20.52,LOW,0
115.19,18.26,58.54,36.17,1767.7,7,15.1,78.1,13.52,0.5419,54.19,HIGH,1
4.74,1.14,26.42,43.82,500.9,6,27.8,58.9,3.51,0.0437,4.37,LOW,0
19.1,4.02,25.52,43.86,1869.2,6,15.8,53.6,4.46,0.0243,2.43,LOW,0
22.95,5.9,34.77,40.83,1370.9,6,19.5,57.4,2.77,0.0546,5.46,LOW,0
16.52,4.35,21.09,25.49,2041.0,11,17.3,62.5,3.81,0.029,2.9,LOW,0
15.79,3.53,24.56,51.82,1396.7,9,20.2,62.5,2.84,0.1105,11.05,LOW,0
1.88,0.44,31.59,34.77,958.9,14,23.4,61.7,1.58,0.0656,6.56,LOW,0
40.49,8.42,32.71,30.08,530.1,14,20.6,77.1,5.62,0.0873,8.73,LOW,0
20.06,3.64,28.15,22.05,1179.0,9,20.9,67.5,1.81,0.0128,1.28,LOW,0
7.58,1.7,27.57,42.5,535.1,4,27.1,66.0,0.89,0.0318,3.18,LOW,0
59.26,15.72,39.73,45.36,771.8,10,22.7,79.9,5.84,0.1301,13.01,LOW,0
56.78,10.6,44.35,19.5,3162.6,8,8.5,66.4,6.3,0.0827,8.27,LOW,0
96.57,16.45,52.92,40.15,1560.1,9,21.8,71.4,9.56,0.2398,23.98,LOW,0
12.41,2.26,20.94,31.62,1819.0,10,16.9,69.2,2.96,0.0391,3.91,LOW,0
35.57,6.75,31.29,44.25,2827.2,9,12.9,68.3,3.22,0.0339,3.39,LOW,0
11.9,1.57,24.12,29.58,3186.9,12,9.9,61.5,1.21,0.0204,2.04,LOW,0
122.36,24.44,56.94,45.83,1969.0,4,17.2,78.0,15.19,0.4444,44.44,MODERATE,0
45.89,9.14,38.41,36.71,2646.8,16,17.3,65.9,4.74,0.1022,10.22,LOW,0
1.44,0.31,26.93,57.97,1214.5,3,22.8,59.6,3.13,0.0578,5.78,LOW,0
160.57,28.59,58.12,27.95,1151.9,3,18.6,84.1,19.26,0.4969,49.69,MODERATE,1
0.24,0.05,30.19,35.39,1438.0,11,19.2,58.3,1.82,0.0302,3.02,LOW,0
5.81,1.51,26.17,26.76,2233.9,3,14.7,64.2,3.37,0.0156,1.56,LOW,0
2.5,0.68,20.1,57.06,2262.5,10,16.1,64.9,2.51,0.0874,8.74,LOW,0
191.56,40.88,83.4,54.03,1180.0,8,23.8,85.3,30.74,0.979,97.9,CRITICAL,1
132.57,16.81,51.59,32.73,643.0,7,24.5,85.3,14.82,0.405,40.5,MODERATE,0
5.66,1.56,18.71,44.75,2115.6,12,16.4,53.2,2.73,0.0334,3.34,LOW,0
9.65,2.25,38.35,50.95,628.6,5,19.0,64.5,1.57,0.0462,4.62,LOW,0
96.28,16.73,52.69,41.41,1956.6,7,20.5,77.8,13.49,0.2161,21.61,LOW,0
25.7,3.69,28.51,40.65,2295.6,7,15.0,63.4,3.39,0.0933,9.33,LOW,0
15.88,2.27,29.99,32.17,2316.8,12,15.9,62.7,2.95,0.0455,4.55,LOW,0
72.33,10.62,44.35,25.65,2472.7,8,15.0,69.4,6.02,0.0795,7.95,LOW,0
17.59,2.24,30.1,55.22,2824.9,17,10.5,59.6,3.08,0.0839,8.39,LOW,0
14.28,3.77,31.44,55.42,1724.9,9,17.9,62.1,2.98,0.0502,5.02,LOW,0
8.13,1.68,26.29,43.85,2404.2,9,12.8,57.9,1.23,0.0517,5.17,LOW,0
16.61,3.85,31.42,35.33,2076.6,9,20.0,69.3,1.9,0.023,2.3,LOW,0
13.33,3.37,27.94,35.63,800.6,7,18.0,49.4,1.77,0.0303,3.03,LOW,0
39.59,9.76,31.98,47.13,325.8,5,23.8,65.1,3.98,0.0921,9.21,LOW,0
11.97,3.13,22.82,55.21,1089.4,6,21.2,50.4,2.7,0.0435,4.35,LOW,0
30.13,8.28,40.03,54.6,1556.9,8,23.2,58.1,3.95,0.0724,7.24,LOW,0
2.39,0.45,28.91,49.29,2070.5,11,18.4,56.9,2.43,0.0828,8.28,LOW,0
7.43,2.02,32.27,44.14,2757.4,7,8.7,69.2,3.11,0.0316,3.16,LOW,0
18.31,4.32,30.15,25.13,828.9,14,23.2,69.7,3.54,0.0407,4.07,LOW,0
241.06,31.65,93.62,29.04,620.4,10,26.4,96.6,35.0,0.9952,99.52,CRITICAL,1
16.58,3.8,28.75,55.3,3092.3,9,16.6,62.9,3.14,0.0628,6.28,LOW,0
187.67,43.14,83.34,42.98,568.7,9,24.0,94.4,30.44,0.9553,95.53,CRITICAL,1
100.72,26.69,51.48,18.35,1661.5,10,15.9,81.9,11.19,0.2049,20.49,LOW,0
4.76,0.85,21.41,26.12,1977.4,6,17.9,57.3,1.52,0.0227,2.27,LOW,0
2.11,0.45,28.2,44.87,1847.1,9,17.7,64.4,2.01,0.036,3.6,LOW,0
12.76,1.56,27.81,17.48,503.8,10,26.4,56.2,3.29,0.0297,2.97,LOW,0
6.01,1.04,27.93,29.0,418.2,3,27.4,58.6,2.95,0.0189,1.89,LOW,0
6.69,0.87,30.43,41.21,561.2,12,25.7,64.6,2.87,0.044,4.4,LOW,0
50.06,10.19,36.12,45.87,1977.5,8,18.4,63.6,4.78,0.0838,8.38,LOW,0
0.56,0.14,24.06,44.48,1855.8,9,21.9,58.0,1.81,0.0466,4.66,LOW,0
28.56,4.37,31.44,31.53,939.5,12,22.1,54.3,3.4,0.0808,8.08,LOW,0
16.7,3.41,36.11,46.61,2131.4,12,13.2,65.2,2.48,0.0831,8.31,LOW,0
24.72,3.77,31.99,32.01,2669.2,4,14.1,58.4,4.32,0.0233,2.33,LOW,0
28.96,4.03,33.89,34.92,372.7,5,22.7,59.4,1.93,0.0612,6.12,LOW,0
13.16,2.65,22.9,47.92,1719.5,5,15.7,70.1,4.56,0.0346,3.46,LOW,0
177.32,23.52,78.3,44.4,2283.5,8,13.4,82.5,29.07,0.9741,97.41,CRITICAL,1
46.27,9.9,40.1,52.52,994.3,12,19.4,71.5,5.39,0.162,16.2,LOW,0
186.93,23.37,73.16,44.67,1157.9,4,24.6,94.6,27.02,0.9183,91.83,CRITICAL,1
92.71,12.71,60.57,41.8,2060.2,7,16.8,79.4,12.96,0.4356,43.56,MODERATE,0
3.6,0.75,27.69,25.69,2898.9,6,13.8,59.0,1.42,0.0186,1.86,LOW,0
79.83,17.13,44.23,36.17,2639.3,9,14.8,69.4,8.92,0.22,22.0,LOW,0
15.07,1.88,29.21,32.98,1970.2,5,16.6,56.8,4.11,0.0319,3.19,LOW,0
28.05,5.94,31.01,32.25,2404.2,11,17.2,53.6,1.76,0.0281,2.81,LOW,0
15.6,3.96,37.09,61.45,1326.2,6,19.5,67.0,1.6,0.0835,8.35,LOW,0
168.56,39.71,76.86,36.89,2140.8,11,15.8,89.3,26.07,0.9375,93.75,CRITICAL,1
31.15,4.39,35.99,54.9,1625.2,3,17.3,67.5,3.75,0.0823,8.23,LOW,0
26.07,5.6,40.88,43.78,810.3,6,27.0,46.9,3.53,0.0968,9.68,LOW,0
7.94,1.81,22.03,49.94,2320.1,7,15.0,60.1,1.99,0.0538,5.38,LOW,0
21.04,2.65,34.77,39.88,1891.6,7,19.1,66.9,2.19,0.0458,4.58,LOW,0
165.94,42.62,74.2,42.06,1307.9,9,19.4,92.6,23.75,0.9181,91.81,CRITICAL,1
31.24,8.28,32.6,39.59,2938.5,8,14.0,66.5,2.51,0.0493,4.93,LOW,0
3.57,0.91,24.87,30.43,311.8,10,28.2,61.7,3.47,0.0366,3.66,LOW,0
27.79,7.0,37.4,46.99,1181.5,4,17.4,60.1,4.0,0.0715,7.15,LOW,0
42.46,10.16,41.14,33.5,417.8,5,25.7,68.6,5.25,0.0394,3.94,LOW,0
55.08,12.19,33.31,20.44,2511.3,4,14.5,66.8,5.97,0.0611,6.11,LOW,0
34.72,7.94,43.8,44.26,2321.2,4,14.5,60.8,7.53,0.1754,17.54,LOW,0
5.8,1.44,32.34,29.69,1227.5,7,24.7,53.9,1.28,0.0329,3.29,LOW,0
193.38,43.7,77.74,58.27,2243.2,6,12.6,83.3,27.22,0.9435,94.35,CRITICAL,1
165.35,28.51,67.34,59.44,1418.0,7,19.1,86.8,22.01,0.905,90.5,CRITICAL,1
0.87,0.16,30.79,56.37,2480.9,8,12.2,51.8,0.5,0.0363,3.63,LOW,0
18.57,4.89,32.68,36.24,1589.8,12,21.8,61.0,2.75,0.0492,4.92,LOW,0
120.0,14.73,62.18,19.34,1466.2,9,17.4,85.8,16.31,0.5125,51.25,HIGH,1
195.93,45.42,82.71,57.32,3007.5,2,6.9,80.8,32.7,0.9708,97.08,CRITICAL,1
138.66,37.82,69.9,37.85,990.1,6,23.6,83.5,17.88,0.8407,84.07,CRITICAL,1
138.15,32.19,67.96,60.72,605.3,10,24.3,84.0,17.96,0.6584,65.84,HIGH,1
85.55,23.87,46.28,60.39,1974.4,12,19.7,71.1,9.49,0.4051,40.51,MODERATE,0
55.95,12.87,37.7,52.71,3109.5,4,12.9,72.1,6.55,0.1512,15.12,LOW,0
89.04,11.17,51.71,33.95,1364.6,6,20.4,72.2,11.1,0.152,15.2,LOW,0
134.4,33.91,74.08,36.67,433.0,10,22.0,84.9,21.4,0.698,69.8,HIGH,1
0.38,0.06,24.36,52.62,1251.0,9,18.1,53.6,2.75,0.0738,7.38,LOW,0
34.12,6.53,36.37,34.66,1742.5,5,14.0,76.5,4.11,0.1069,10.69,LOW,0
18.64,3.17,34.69,29.37,727.7,9,23.7,71.4,4.23,0.0916,9.16,LOW,0
68.78,11.21,42.16,41.45,2191.4,8,14.3,56.9,7.29,0.1352,13.52,LOW,0
10.15,1.92,31.83,57.92,3193.4,10,10.0,68.6,2.86,0.1422,14.22,LOW,0
138.77,25.06,63.93,46.02,1582.6,3,19.7,77.4,17.47,0.6764,67.64,HIGH,1
33.29,7.37,40.57,41.85,1296.4,7,25.6,73.6,4.59,0.1093,10.93,LOW,0
55.22,13.81,35.74,25.88,1432.1,7,21.6,74.3,3.92,0.0584,5.84,LOW,0
3.13,0.52,37.45,43.26,589.7,7,24.9,53.9,3.25,0.03,3.0,LOW,0
7.09,1.09,25.42,64.02,2855.7,14,8.4,64.5,1.32,0.1847,18.47,LOW,0
49.72,11.27,41.53,28.07,1473.7,7,20.0,63.3,4.83,0.1296,12.96,LOW,0
73.93,16.8,45.72,40.33,1392.5,7,22.5,74.3,5.76,0.1468,14.68,LOW,0
59.42,15.7,36.24,54.04,2196.1,8,16.9,69.2,5.05,0.224,22.4,LOW,0
0.49,0.06,29.3,47.7,1554.0,5,16.8,55.7,1.07,0.0367,3.67,LOW,0
204.92,52.56,81.06,46.05,2162.3,7,15.2,82.7,32.11,0.9917,99.17,CRITICAL,1
15.9,3.23,32.08,46.25,431.3,12,25.8,63.8,1.62,0.0402,4.02,LOW,0
33.09,7.26,30.24,35.93,2650.5,4,12.4,67.7,3.36,0.0403,4.03,LOW,0
105.94,14.26,53.36,33.92,3024.5,4,9.8,74.9,11.5,0.1861,18.61,LOW,0
14.67,2.78,27.64,50.59,2163.9,10,10.7,57.6,0.97,0.0348,3.48,LOW,0
167.58,26.2,74.68,50.62,3066.0,5,9.2,82.2,24.76,0.9149,91.49,CRITICAL,1
2.53,0.41,27.25,53.46,696.7,5,24.8,53.8,1.9,0.0391,3.91,LOW,0
31.12,6.24,32.83,56.25,1658.4,9,21.1,69.1,3.88,0.0757,7.57,LOW,0
25.74,6.43,30.36,40.13,2025.3,10,17.1,50.9,4.24,0.0806,8.06,LOW,0
47.45,11.34,39.86,39.85,1966.1,8,19.8,72.8,5.41,0.1549,15.49,LOW,0
